Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
154,Road Rash 3D,,PS,Electronic Arts,Electronic Arts,,,,,1250000.0,1050000.0,160000.0,,40000.0,1998-05-31 00:00:00,N/A
155,Ridge Racer V,,PS2,Namco,Namco,,,,,1240000.0,240000.0,190000.0,750000.0,60000.0,2000-10-25 00:00:00,N/A
156,Need for Speed Carbon,,PS3,Electronic Arts,EA Black Box,,7.8,,,1240000.0,490000.0,510000.0,30000.0,200000.0,2006-11-17 00:00:00,N/A
157,Driv3r,,PS2,Atari,Reflections Interactive,,,,,1230000.0,600000.0,470000.0,,160000.0,2004-06-21 00:00:00,N/A
158,Vigilante 8,,PS,Activision,"Luxoflux, Inc.",,,,,1230000.0,680000.0,470000.0,,80000.0,1998-05-31 00:00:00,N/A
159,NASCAR Thunder 2003,,PS2,EA Sports,EA Tiburon,,,,,1220000.0,600000.0,460000.0,,160000.0,2002-09-29 00:00:00,N/A
160,Cars,,PS2,THQ,Rainbow Studios,,,,,1210000.0,1010000.0,40000.0,,160000.0,2006-06-06 00:00:00,N/A
161,Need for Speed Underground,,GC,Electronic Arts,EA Black Box,,,,,1210000.0,690000.0,480000.0,10000.0,30000.0,2003-11-17 00:00:00,N/A
162,Cars,,PSP,THQ,Locomotive Games,,7.4,,,1210000.0,720000.0,280000.0,,200000.0,2006-06-06 00:00:00,N/A
163,Test Drive 4,,PS,Accolade,Pitbull Syndicate,,,,,1210000.0,670000.0,460000.0,,80000.0,1997-09-30 00:00:00,N/A
164,ATV Offroad Fury 3,,PS2,Sony Computer Entertainment,Climax Group,,7.5,,,1200000.0,1000000.0,40000.0,,160000.0,2004-11-02 00:00:00,N/A
