Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
879,Threads of Fate,,PS,Square EA,SquareSoft,,7.8,,,210000.0,120000.0,80000.0,,10000.0,2000-07-14 00:00:00,N/A
880,PoPoLoCrois Monogatari II,,PS,Sony Computer Entertainment,G-Artists,,,,,210000.0,,,200000.0,10000.0,2000-01-27 00:00:00,N/A
881,Secrets of Grindea,,PC,Unknown,Pixel Ferrets,,,,210000.0,,,,,,N/A,2019-02-25 00:00:00
882,Tales of Phantasia: Narikiri Dungeon X,,PSP,Namco Bandai,Alfa System,,,,,210000.0,,,210000.0,,2010-08-05 00:00:00,N/A
883,Legend of Dungeon,,PC,Unknown,Robot Loves Kitty,,,,210000.0,,,,,,N/A,2019-02-25 00:00:00
884,Final Fantasy Fables: Chocobo's Dungeon,,Wii,Square Enix,High Horse Entertainment,,7.4,,,210000.0,90000.0,0.0,110000.0,10000.0,2008-07-08 00:00:00,N/A
885,Blue Dragon Plus,,DS,Ignition Entertainment,Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.,,6.5,,,210000.0,120000.0,30000.0,50000.0,10000.0,2009-02-19 00:00:00,N/A
886,Dragon's Dogma: Dark Arisen,,PS4,Capcom,Capcom,,,,,210000.0,70000.0,70000.0,30000.0,30000.0,2017-10-03 00:00:00,2019-03-22 00:00:00
887,Shin Megami Tensei: Persona 3 (jp sales),,PS2,Atlus,Atlus Co.,,,,,210000.0,,,210000.0,,2007-08-14 00:00:00,N/A
888,The Lord of the Rings: War in the North,,PC,Warner Bros. Interactive,Snowblind Studios,,6.5,,,210000.0,70000.0,110000.0,,30000.0,2011-11-01 00:00:00,N/A
889,Dragon Quest Monsters: Joker 3 - Professional,,3DS,Square Enix,Square Enix,,,,,200000.0,,,200000.0,,2017-02-09 00:00:00,N/A
